epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,207.531,1.00994,0.86278,0.99854,0.62979,0.54016,0.57821,0.4299,1.00862,0.87911,0.97715,0.00999532,0.00333177,0.00999532,0.00333177,0.00999532,0.00333177,0.00999532,0.00333177
2,386.188,0.91423,0.618,0.93557,0.69042,0.54766,0.58583,0.42322,1.04255,0.89364,0.99451,0.0197974,0.00659912,0.0197974,0.00659912,0.0197974,0.00659912,0.0197974,0.00659912
3,559.331,0.91764,0.63583,0.94228,0.62364,0.56123,0.58158,0.40858,1.09784,0.87946,1.02454,0.0294014,0.00980047,0.0294014,0.00980047,0.0294014,0.00980047,0.0294014,0.00980047
4,727.619,0.915,0.62465,0.94819,0.67339,0.52898,0.55426,0.39514,1.06202,0.96024,1.02711,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,897.458,0.8711,0.58077,0.93341,0.67682,0.54612,0.59718,0.43173,1.06208,0.91757,1.03053,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1068.66,0.85025,0.55983,0.9272,0.6279,0.53832,0.55169,0.40161,1.06093,0.992,1.03062,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1238.42,0.82956,0.53569,0.92204,0.68044,0.55044,0.57764,0.4077,1.07875,0.97679,1.05321,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1404.71,0.81706,0.52226,0.9161,0.62022,0.56309,0.5788,0.41308,1.0697,0.94121,1.04228,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1573.58,0.79856,0.5021,0.90822,0.58181,0.54302,0.55355,0.40176,1.05625,0.94968,1.02367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1742.63,0.79323,0.49201,0.90798,0.62308,0.55378,0.56438,0.40425,1.07803,0.98248,1.04691,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1910.07,0.78054,0.48033,0.90256,0.6765,0.56264,0.59752,0.43723,1.06428,1.00069,1.02849,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2080.29,0.77042,0.47132,0.90074,0.61476,0.60603,0.59728,0.42884,1.07337,0.97379,1.04109,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2250.33,0.76501,0.46184,0.89985,0.61737,0.57262,0.56699,0.41495,1.05498,1.05164,1.03239,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2419.78,0.75793,0.45552,0.89686,0.65828,0.5694,0.59965,0.44288,1.0436,1.01995,1.03028,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2586.84,0.75286,0.45086,0.8963,0.65621,0.54678,0.58942,0.43524,1.03806,0.93906,1.02652,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2755.65,0.74616,0.4429,0.89195,0.64312,0.55271,0.56792,0.41488,1.03869,0.94575,1.02173,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2924.08,0.74396,0.43875,0.89275,0.67997,0.5774,0.59136,0.43359,1.02716,0.98504,1.02,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3091.87,0.73776,0.43178,0.8914,0.62129,0.61336,0.60678,0.44201,1.03902,0.88692,1.02217,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3260.85,0.73602,0.42854,0.89049,0.77101,0.60726,0.65257,0.47255,1.0332,0.89983,1.01813,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3429.12,0.72802,0.42227,0.88711,0.69987,0.57872,0.6017,0.44119,1.04152,1.0107,1.02632,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3595.27,0.72366,0.41907,0.8857,0.73241,0.58358,0.61615,0.4588,1.0325,1.00404,1.01993,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3762.38,0.72047,0.4163,0.8841,0.65216,0.59089,0.58264,0.4275,1.05321,1.01048,1.03341,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3930.18,0.72114,0.41062,0.88428,0.64078,0.5966,0.6265,0.46923,0.99118,0.92211,0.99961,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4096.83,0.71228,0.40548,0.88231,0.67974,0.59859,0.62041,0.45855,1.02411,0.93625,1.01768,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4263.99,0.71,0.40302,0.88166,0.61364,0.56962,0.594,0.43933,1.02811,0.93492,1.02163,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4431.61,0.70874,0.40029,0.88116,0.65299,0.61303,0.62432,0.46628,1.02195,0.97542,1.01552,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4598.88,0.70694,0.39668,0.88079,0.71216,0.59425,0.63159,0.4751,1.01253,0.91878,1.01313,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4765.3,0.69748,0.39261,0.87796,0.74415,0.59421,0.63044,0.47261,1.01568,0.92234,1.01292,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4932.68,0.69879,0.38884,0.87618,0.72221,0.57978,0.61511,0.46366,0.99521,1.00003,1.00502,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5099.74,0.69335,0.38716,0.87432,0.64023,0.61177,0.60664,0.4494,1.01317,0.98684,1.01726,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5264.99,0.69159,0.38583,0.87571,0.76591,0.57698,0.63081,0.47154,1.00207,0.92452,1.00732,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5432.42,0.69068,0.38284,0.87419,0.71255,0.59959,0.62976,0.47517,1.00356,0.92806,1.00764,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5599.41,0.68508,0.38021,0.87087,0.72042,0.59948,0.63988,0.48225,1.00383,0.94497,1.00736,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5765.58,0.68701,0.37787,0.87224,0.66963,0.56105,0.60816,0.45397,0.98492,0.95892,1.005,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5932.74,0.68119,0.37277,0.87148,0.70151,0.57805,0.63081,0.48078,0.97589,0.94275,0.99705,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
