epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,236.762,0.85155,0.63714,0.9605,0.99858,0.99563,0.99471,0.78864,0.78745,0.38365,0.9506,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197,0.00999591,0.00333197
2,436.799,0.85771,0.48472,0.97654,0.99839,0.99607,0.99452,0.7716,0.82501,0.41181,0.96251,0.0197485,0.00658282,0.0197485,0.00658282,0.0197485,0.00658282,0.0197485,0.00658282
3,627.883,0.87347,0.50457,0.99391,0.97844,0.99082,0.99215,0.75444,0.86866,0.43895,0.98002,0.0292535,0.00975117,0.0292535,0.00975117,0.0292535,0.00975117,0.0292535,0.00975117
4,818.168,0.86955,0.49353,0.99772,0.99471,0.99913,0.9945,0.78094,0.83361,0.39042,0.96962,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1010.78,0.83275,0.45916,0.98974,0.9965,0.99466,0.99459,0.78171,0.81409,0.38764,0.96111,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1203.49,0.80652,0.43336,0.97911,0.99903,0.99913,0.99457,0.79902,0.77937,0.35205,0.95209,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1394.6,0.79163,0.41316,0.96474,0.99486,0.99869,0.99451,0.81085,0.74981,0.33556,0.93318,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1584.49,0.77672,0.40308,0.96037,0.99946,0.99781,0.99457,0.81103,0.74254,0.32838,0.93279,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1776.55,0.77101,0.39272,0.96132,0.99825,0.99852,0.99445,0.81667,0.73064,0.32988,0.93918,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1969.87,0.75923,0.38346,0.95599,0.99806,0.99607,0.99457,0.82344,0.71598,0.31482,0.92532,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2163.2,0.75958,0.37712,0.96169,0.99954,0.99825,0.99457,0.81938,0.72651,0.31563,0.9333,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2355.19,0.7473,0.36957,0.94939,0.99902,0.99738,0.99456,0.81284,0.74832,0.31767,0.93814,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2545.62,0.74595,0.36916,0.95459,0.9989,0.99913,0.99458,0.82588,0.70713,0.30345,0.92555,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2737.99,0.74038,0.36265,0.95216,0.99865,0.99869,0.99427,0.82057,0.72196,0.30489,0.92314,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,2930.82,0.73613,0.35878,0.94788,0.99839,0.99781,0.99458,0.83264,0.68641,0.28651,0.91318,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,3124.15,0.73615,0.35423,0.94387,0.99956,0.99905,0.99457,0.82456,0.70157,0.28653,0.9155,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,3315.66,0.72573,0.34854,0.93989,0.99868,0.99869,0.99457,0.83447,0.69327,0.28613,0.91957,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,3503.65,0.72298,0.34569,0.94253,0.99899,0.99956,0.99457,0.83279,0.69435,0.28026,0.91577,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,3688.16,0.72518,0.34086,0.94175,0.99952,0.99913,0.99459,0.82769,0.69547,0.2855,0.91262,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,3873.61,0.72009,0.33886,0.942,0.99825,0.9995,0.99458,0.83246,0.68786,0.2758,0.90868,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,4062.36,0.7203,0.33895,0.9391,0.99956,0.99866,0.99457,0.83118,0.6892,0.27218,0.90814,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,4245.21,0.71386,0.33478,0.93731,0.99913,0.99816,0.99457,0.83045,0.6958,0.27465,0.9123,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,4428.19,0.71596,0.33194,0.93957,0.99956,0.99911,0.99456,0.83312,0.6814,0.26401,0.90736,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,4613.28,0.70903,0.32793,0.9368,0.99956,0.99858,0.99458,0.82958,0.70278,0.27053,0.91824,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,4798.5,0.71385,0.32879,0.94023,0.99913,0.99863,0.99457,0.83426,0.68918,0.26966,0.91049,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,4981.76,0.71211,0.32648,0.93612,0.99956,0.99907,0.99458,0.83538,0.67891,0.25809,0.90518,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,5164.56,0.71083,0.32278,0.93392,0.99956,0.99908,0.99457,0.83394,0.68958,0.26281,0.90885,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,5349.26,0.71046,0.32334,0.94163,0.99913,0.99906,0.99457,0.83478,0.68427,0.26341,0.9128,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,5535.07,0.70371,0.31912,0.93212,0.99949,0.99956,0.99457,0.83501,0.68422,0.25861,0.90638,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,5720.16,0.70085,0.31277,0.93218,0.99956,0.99861,0.99457,0.83738,0.68019,0.25391,0.90089,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,5903.22,0.70235,0.31334,0.93049,0.99952,0.99956,0.99457,0.83612,0.6805,0.25286,0.90421,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,6088.29,0.69775,0.31311,0.93376,0.99943,0.99913,0.99457,0.83835,0.67475,0.25071,0.90426,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,6274.43,0.70062,0.31195,0.93636,0.99909,0.99913,0.99457,0.84155,0.66087,0.24973,0.90413,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,6462.58,0.68987,0.31034,0.93134,0.99905,0.99956,0.99457,0.84054,0.67401,0.24715,0.90196,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,6648.11,0.69526,0.30813,0.93127,0.99955,0.99913,0.99457,0.83846,0.66803,0.2456,0.90352,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,6833.98,0.68733,0.30531,0.92656,0.99825,0.99899,0.99456,0.838,0.6727,0.24536,0.89986,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,7020.79,0.69642,0.30745,0.92909,0.9991,0.99956,0.99457,0.83689,0.67414,0.24605,0.89968,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,7229.83,0.68997,0.30287,0.93428,0.99956,0.99868,0.99457,0.83878,0.67245,0.24184,0.9064,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,7476.52,0.69151,0.30181,0.9311,0.99956,0.99953,0.99458,0.8379,0.67238,0.24619,0.90148,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,7664.16,0.69044,0.30159,0.92913,0.99955,0.99913,0.99457,0.83689,0.68028,0.24267,0.90224,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,7849.55,0.68677,0.29929,0.92933,0.99956,0.99953,0.99458,0.84075,0.67066,0.23679,0.89577,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,8035.05,0.6877,0.29837,0.92442,0.99951,0.99913,0.99458,0.84014,0.67199,0.23925,0.89493,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,8221.46,0.68582,0.29937,0.92581,0.99952,0.99825,0.99458,0.83952,0.66118,0.23513,0.89383,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,8408.25,0.68017,0.29212,0.92251,0.99913,0.99864,0.99459,0.84023,0.67002,0.23826,0.89372,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,8594.41,0.6786,0.29359,0.9267,0.99956,0.9986,0.99458,0.83936,0.67457,0.23841,0.90502,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,8779.45,0.68287,0.29285,0.92051,0.99953,0.99869,0.99458,0.84033,0.66473,0.23338,0.89129,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,8964.95,0.68298,0.28975,0.92309,0.99956,0.99866,0.99458,0.83839,0.67487,0.23505,0.89878,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,9150.89,0.68156,0.28858,0.92906,0.99913,0.99909,0.99458,0.84113,0.66737,0.2341,0.90192,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,9337.86,0.67613,0.28816,0.92332,0.99953,0.99913,0.99458,0.83926,0.67304,0.2355,0.8993,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,9521.68,0.67298,0.28646,0.92118,0.99953,0.99913,0.99458,0.83533,0.68065,0.23869,0.90264,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,9706.29,0.67015,0.28426,0.92275,0.99952,0.99913,0.99458,0.84083,0.66757,0.23199,0.89895,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
